,Symbol,Name,Price,Change,Change %,Volume,Avg volume,Market cap,Ration,date/time
89,IS,ironSource Ltd.,2.8000,-0.1500,-5.08%,11.59M,5.574M,2.86B,48.28,04/06/2022 02:25:57
90,SYNA,Synaptics Incorporated,146.33,-7.80,-5.06%,"396,789","600,503",5.796B,30.77,04/06/2022 02:25:57
91,MCARY,"Mercari, Inc.",7.88,-0.42,-5.06%,"63,419","72,334",2.53B,N/A,04/06/2022 02:25:57
92,S,"SentinelOne, Inc.",23.91,-1.27,-5.04%,4.898M,4.636M,6.67B,N/A,04/06/2022 02:25:57
93,NTRA,"Natera, Inc.",36.98,-1.96,-5.03%,1.214M,2.848M,3.562B,N/A,04/06/2022 02:25:57
94,TGLVY,Top Glove Corporation Bhd.,1.1400,-0.0600,-5.00%,"49,811","4,550",2.303B,3.61,04/06/2022 02:25:57
95,WOLF,"Wolfspeed, Inc.",74.69,-3.93,-5.00%,1.171M,1.872M,9.234B,N/A,04/06/2022 02:25:57
96,AFRM,"Affirm Holdings, Inc.",25.10,-1.32,-5.00%,11.418M,15.155M,7.189B,N/A,04/06/2022 02:25:57
97,SQ,"Block, Inc.",83.10,-4.34,-4.96%,13.877M,20.089M,48.24B,N/A,04/06/2022 02:25:57
98,GDRX,"GoodRx Holdings, Inc.",7.58,-0.39,-4.89%,1.392M,2.414M,3.005B,N/A,04/06/2022 02:25:57
99,PTON,"Peloton Interactive, Inc.",12.53,-0.64,-4.86%,8.51M,11.824M,4.227B,N/A,04/06/2022 02:25:57
